Relations,Labels,Templates,We don't know Y (knowing X),Plural Templates
http://www.wikidata.org/entity/P189,location of discovery,X was discovered in Y,I'm not sure where X was discovered,X was discovered in Y
http://www.wikidata.org/entity/P19,place of birth,X was born in Y,I don't know where X ws born,X was born in Y
http://www.wikidata.org/entity/P190,twinned administrative body,X is twinned with Y,I don't know with what X is twinned,X is twinned with Y
http://www.wikidata.org/entity/P1923,participating teams,Y participated in X,I don't know who participated in X,Y participated in X
http://www.wikidata.org/entity/P193,main building contractor,X is built by Y,I'm not sure who built X,X is built by Y
http://www.wikidata.org/entity/P194,legislative body,X's legislative body is represented by Y,I don't know the legislative body of X,X's legislative body is represented by Y
http://www.wikidata.org/entity/P195,collection,X is part of a collection in Y,I'm not sure in what collection is X,X is part of a collection in Y
http://www.wikidata.org/entity/P196,minor planet group,X is part of Y,I am not sure which planer group X is part of,X is part of Y
http://www.wikidata.org/entity/P197,adjacent station,X is adjacent to Y,I can't find the adjacent station to X,X is adjacent to Y
http://www.wikidata.org/entity/P1990,species kept,X is housing Y,I am not sure about which species X bears,X is housing Y
http://www.wikidata.org/entity/P1995,health specialty,The health speciality of X is Y,I have no data on the specialty of X,The health specialities of X are Y
http://www.wikidata.org/entity/P20,place of death,The place of death of X was Y,I am missing place of death information for X,The place of deaths of X were Y
http://www.wikidata.org/entity/P200,lake inflows,Y flows into the X,I don't know what flows into the X,Y flow into the X
http://www.wikidata.org/entity/P201,lake outflow,X outflows into Y,I don't know what X outflows into,X outflows into Y
http://www.wikidata.org/entity/P206,located in or next to body of water,X has a coast on Y,I'm not sure about the location of X,X has a coast on Y
http://www.wikidata.org/entity/P2079,fabrication method,Y is used in X,I don't know what fabrication method is used in X,Y are used in X
http://www.wikidata.org/entity/P21,sex or gender,The gender of X is Y,I have no data on the gender of X,The genders of X are Y
http://www.wikidata.org/entity/P2175,medical condition treated,Y is treated using X,I don't know what conditions X can treat,Y are treated using X
http://www.wikidata.org/entity/P2176,drug used for treatment,X is treated with Y,I'm not sure about the drugs used to treat X,X is treated with Y
http://www.wikidata.org/entity/P22,father,X is the child of Y,I don't know the father of X,X is the child of Y
http://www.wikidata.org/entity/P2239,first aid measures,First aid response to X is Y,I can't really tell what the first aid response to X is,First aid responses to X are Y
http://www.wikidata.org/entity/P2293,genetic association,The gene X is associated with Y,I have no data on the associations to gene X,The gene X is associated with Y
http://www.wikidata.org/entity/P2348,time period,X occurred in the era Y,I don't know in what era X occurred,X occurred in the era Y
http://www.wikidata.org/entity/P237,coat of arms,Y is the coat of arms of X,I am not familiar with the coat of arms of X,Y are the coat of arms of X
http://www.wikidata.org/entity/P241,military branch,X has military branch Y,I don't know the military branches of X,X has military branches Y
http://www.wikidata.org/entity/P2416,sports discipline competed in,X competes in Y,I am missing data on the disciplines in which X competes,X competes in Y
http://www.wikidata.org/entity/P2453,nominee,Y was nominated for X,I'm not sure who was nominated for X,Y were nominated for X
http://www.wikidata.org/entity/P248,stated in,X is seen on Y,I don't know where X originates from,X is seen on Y
http://www.wikidata.org/entity/P25,mother,X is the mother of Y,I don't really know about the children of X,X is the mother of Y
http://www.wikidata.org/entity/P2515,costume designer,X designed the costume Y,I can't tell what X has designed,X designed the costume Y
http://www.wikidata.org/entity/P2522,victory,X won Y,I don't know yet what X won,X won Y
http://www.wikidata.org/entity/P2554,production designer,X is the production designer of Y,I don't really know what X designed,X is the production designer of Y
http://www.wikidata.org/entity/P26,spouse,X is the spouse of Y,I was not informed about the spouse of X,X is the spouse of Y
http://www.wikidata.org/entity/P2632,place of detention,X is detained at Y,I am missing data on the place of detention of X,X is detained at Y
http://www.wikidata.org/entity/P264,record label,The record label of X is Y,I don't know the record label of X,The record label of X are Y
http://www.wikidata.org/entity/P2695,type locality (geology),X is local to Y,I don't know about the locality of X ,X is local to Y
http://www.wikidata.org/entity/P27,country of citizenship,X has the citizenship of Y,I don't have the information about citizenship of X,X has the citizenship of Y
http://www.wikidata.org/entity/P272,production company,X is the production company of Y,I don't know who produces X,X is the production company of Y
http://www.wikidata.org/entity/P275,license,The license for X is Y,I don't know the license under which X has been released,The licenses for X are Y
http://www.wikidata.org/entity/P276,location,X is located in Y,I don't have data about the location of X,X is located in Y
http://www.wikidata.org/entity/P277,programming language,X is developed in Y programming language,I am missing information about the programming language used for developing X,X is developed in Y programming languages
http://www.wikidata.org/entity/P282,writing system,X uses Y,I don't have the knowledge about the writing system used by X,X uses Y
http://www.wikidata.org/entity/P2860,cites,X cites Y,I am missing data about the works cited by X,X cites Y
http://www.wikidata.org/entity/P287,designed by,X was designed by Y,I don't know the designer of X,X was designed by Y
http://www.wikidata.org/entity/P289,vessel class,X is a Y,I don't posses the information about the vessel class of X,X are Y
http://www.wikidata.org/entity/P291,place of publication,X is published in Y,I don't know where X was publised,X is published in Y
http://www.wikidata.org/entity/P2978,wheel arrangement,X has wheel arrangement Y,I don't have the information about the wheel arrangement of X,X has wheel arrangements Y
http://www.wikidata.org/entity/P30,continent,X is in the continent Y,I don't know in which continent X is located,X is in the continent Y
http://www.wikidata.org/entity/P306,operating system,X has operating systerm Y,I don't know in which operating system X works,X has operating systerms Y
http://www.wikidata.org/entity/P3085,qualifies for event,X has quailified for Y,I am missing the information about the events which X has qualified,X has quailified for Y
http://www.wikidata.org/entity/P3091,mount,X mounted Y,I don't know the mounts of X,X mounted Y
http://www.wikidata.org/entity/P3093,recovered by,X is recovered by Y,I don't have the information about X's recovery,X is recovered by Y
http://www.wikidata.org/entity/P3113,does not have part,X lacks Y,I don't have the information about parts X lacks,X lacks Y
http://www.wikidata.org/entity/P3137,parent peak,The parent peak of X is Y,I don't know the parent peak of X,The parent peak of X are Y
http://www.wikidata.org/entity/P3150,birthday,X's birthday is on Y,I don't have the information about the birthday of X,X's birthday is on Y
http://www.wikidata.org/entity/P3173,offers view on,Y can be seen from X,I don't know what you can see from X,Y can be seen from X
http://www.wikidata.org/entity/P3179,territory overlaps,X has territory overlap with Y,I don't know the territory overlap of X,X has territory overlap with Y
http://www.wikidata.org/entity/P3195,league points system,X's points system is Y,I don't know the point system of X,X's points systems are Y
http://www.wikidata.org/entity/P3279,statistical leader,Y was a leader in one of statistical values during X,I can't find things which lead statistical values during X,Y were leaders in one of statistical values during X
http://www.wikidata.org/entity/P3301,broadcast by,X is broadcasted by Y,I don't know who is the broadcaster of X,X is broadcasted by Y
http://www.wikidata.org/entity/P3320,board member,X is the board member of Y,I don't know about the organizations of which X is a board member,X is the board member of Y
http://www.wikidata.org/entity/P344,director of photography,X is the director of photography of Y,I'm unable to find artefacts of which X is the director of photography,X is the director of photography of Y
http://www.wikidata.org/entity/P35,head of state,X is the head of state in Y,"I can't seem to be able to find the information about the state under the leadership of X
",X is the head of state in Y
http://www.wikidata.org/entity/P355,subsidiary,X is the subsidiary of Y,I can't find things of which X is a subsidiary,X is the subsidiary of Y
http://www.wikidata.org/entity/P36,capital,Y is the capital of X,I don't know then capital of X,Y are the capitals of X
http://www.wikidata.org/entity/P361,part of,X is part of Y,I don't know about things of which X is a part ,X is part of Y
http://www.wikidata.org/entity/P364,original language of work,The original language of X is Y,I don't have the information regarding the original language of X,The original languages of X are Y
http://www.wikidata.org/entity/P366,use,Main use of the X is Y,I don't know what the main uses of X is,Main use of the X are Y
http://www.wikidata.org/entity/P37,official language,The official language of X is Y,I don't know the official language of X,The official languages of X are Y
http://www.wikidata.org/entity/P371,presenter,X is presented by Y,I don't know who presents X,X is presented by Y
http://www.wikidata.org/entity/P375,space launch vehicle,X is the launch vehicle of Y,I don't know about things of which X is the launch vehicle,X is the launch vehicle of Y
http://www.wikidata.org/entity/P376,located on astronomical body,X is on Y,I'm unable to decide the astronomical body on which X is located,X is on Y
http://www.wikidata.org/entity/P38,currency,The currency of X is the Y,I can't find the curreny of X,The currencies of X are the Y
http://www.wikidata.org/entity/P39,position held,X held the position Y,I can't find the positions held by X,X held the position Y
http://www.wikidata.org/entity/P397,parent astronomical body,X belongs to Y,I'm unable to find the astronomical body to which X belongs,X belongs to Y
http://www.wikidata.org/entity/P398,child astronomical body,Y belongs to X,I can't find the astronomical bodies which belong to X,Y belong to X
http://www.wikidata.org/entity/P40,child,Y is the child of X,I can't find the children of X,Y are children of X
http://www.wikidata.org/entity/P400,platform,The platform of X is Y,I can't find the platforms of X,The platforms of X are Y
http://www.wikidata.org/entity/P403,mouth of the watercourse,X flows into Y,I'm unable to decide into which X flows,X flows into Y
http://www.wikidata.org/entity/P404,game mode,X's game mode is Y,I can't find the game modes of X,X's game modes are Y
http://www.wikidata.org/entity/P407,language of work or name,X was created in Y,I don't know the language in which X was created,X was created in Y
http://www.wikidata.org/entity/P408,software engine,X is powered by Y,I can't find the software powering X,X is powered by Y
http://www.wikidata.org/entity/P410,military rank,X holds military rank Y,I don't know the ranks held by X,X holds military ranks Y
http://www.wikidata.org/entity/P411,canonization status,X is a Y,I don't know the canonization status of X,X are Y
http://www.wikidata.org/entity/P412,voice type,The voice type of X is Y,I don't know the voice type of X,The voice types of X are Y
http://www.wikidata.org/entity/P413,position played on team / speciality,X has the role of Y,I don't know the role of X,X has the role of Y
http://www.wikidata.org/entity/P414,stock exchange,X is publicly traded on Y,I don't know where X is traded,X is publicly traded on Y
http://www.wikidata.org/entity/P417,patron saint,The patron of X is Y,I don't know the patron saint of X,The patrons of X are Y
http://www.wikidata.org/entity/P421,located in time zone,The timezone of X is Y,I don't know the timezone of X,The timezones of X are Y
http://www.wikidata.org/entity/P425,field of this occupation,The main object of occupation of X is Y,I don't know the occupation of X,The main object of occupation of X are Y
http://www.wikidata.org/entity/P427,taxonomic type,The taxonomic type of Y is X,I don't know the taxonomic type of X,The taxonomic types of Y are X
http://www.wikidata.org/entity/P437,distribution,X is available on Y,I don't know where X is available,X is available on Y
http://www.wikidata.org/entity/P449,original network,The network of X is Y,I don't know the network of X,The network of X are Y
http://www.wikidata.org/entity/P451,partner,X is the life partner of Y,I don't know the life partner of X,X are the life partners of Y
http://www.wikidata.org/entity/P452,industry,X is in the Y industry,I don't know what industry X is in,X are in the Y industries
http://www.wikidata.org/entity/P462,color,X has the color Y,I don't know the color of X,X has the colors Y
